"var","var_2","cor"
"181","por_mora60_max1m12","por_cal0_1m",-0.8874
"182","por_mora60_max1m12","por_mora_0_1m",-0.8757
"183","por_mora60_max1m12","frec_calificacion_4_1m12",0.8313
"184","por_mora60_max1m12","por_cal234_max1m6",0.9259
"185","por_mora60_max1m12","saldo_cal1234_max1m3",0.131
"186","por_mora60_max1m12","saldo_cal234_max1m12",0.2357
"187","por_mora60_max1m12","por_mora_0_min1m12",-0.793
"188","por_mora60_max1m12","por_cal1234_max1m3",0.8551
"189","por_mora60_max1m12","por_cal234_max1m12",0.9328
"190","por_mora60_max1m12","por_cal1234_1m",0.8872
"191","por_mora60_max1m12","calificacion_1m",0.894
"192","por_mora60_max1m12","frec_mora30_1m12",0.8658
"193","por_mora60_max1m12","calificacion_max1m6",0.7606
"194","por_mora60_max1m12","saldo_cal1234_1m",0.2725
"195","por_mora60_max1m12","can_emp_1m",-0.3038
"196","por_mora60_max1m12","edad",-0.0417
"197","por_mora60_max1m12","frec_mora0_1m12",0.8284
"198","por_mora60_max1m12","por_cal0_min1m12",-0.7763
"199","por_mora60_max1m12","frec_calificacion_234_1m12",0.8863
"200","por_mora60_max1m12","mora_max1m3",0.6138
"201","por_mora60_max1m12","por_mora0_max1m3",0.84
"202","por_mora60_max1m12","saldo_mora0_max1m3",0.066
"203","por_mora60_max1m12","mora_1m",0.6167
"204","por_mora60_max1m12","por_mora0_1m",0.8757
"205","por_mora60_max1m12","saldo_mora0_1m",0.1327
"206","por_mora60_max1m12","frec_calificacion_1234_1m12",0.8775
"207","por_mora60_max1m12","disp_efectivo_max1m6",-0.1701
"208","por_mora60_max1m12","por_uso_efectivo_max1m6",-0.1654
"209","por_mora60_max1m12","linea_usada_max1m6",-0.2673
"210","por_mora60_max1m12","calificacion_max1m12",0.9665
"211","por_mora60_max1m12","linea_total_max1m6",-0.2913
"212","por_mora60_max1m12","saldo_cal1234_max1m6",0.0801
"213","por_mora60_max1m12","por_uso_linea_max1m6",-0.1571
"214","por_mora60_max1m12","cv_saldo_1m12",-0.3384
"215","por_mora60_max1m12","por_cal1234_max1m6",0.8358
"216","por_mora60_max1m12","disp_efectivo_max1m12",-0.2094
"217","por_mora60_max1m12","por_uso_efectivo_max1m12",-0.1738
"218","saldo_mora60_max1m12","saldo_cal34_max1m3",0.7746
"219","saldo_mora60_max1m12","por_cal34_max1m3",0.3539
"220","saldo_mora60_max1m12","por_mora60_max1m3",0.3863
"221","saldo_mora60_max1m12","saldo_mora60_max1m3",0.8255
