"var","iv_train","iv_test"
"87","saldo_cal1234_1m",0.035445610498452,0.00726958529805493
"88","can_emp_1m",0.0346150098865508,0.0715632232924014
"89","edad",0.0321337802282293,0.0583001065582346
"90","frec_mora0_1m12",0.0319700171970259,0.00538129893387255
"91","por_cal0_min1m12",0.0317462804211381,0.00410396632460027
"92","frec_calificacion_234_1m12",0.0303077534209471,0.00337730376084065
"93","mora_max1m3",0.0299099492216245,0.00476569873089726
"94","por_mora0_max1m3",0.0299099492216245,0.00476569873089726
"95","saldo_mora0_max1m3",0.0299099492216245,0.00476569873089726
"96","mora_1m",0.0284836131361041,0.00657349232884239
"97","por_mora0_1m",0.0284836131361041,0.00657349232884239
"98","saldo_mora0_1m",0.0284836131361041,0.00657349232884239
"99","frec_calificacion_1234_1m12",0.0282069209830877,0.00446967834956611
