"var","cv_train","cv_test"
"99","saldo_castigo_max1m6",1.33211372844851,1.30490050421372
"100","por_castigo_max1m6",0.855323331101431,0.894677891150169
"101","linea_total_max1m6",1.44920602060585,1.67722735303837
"102","linea_usada_max1m6",1.55584136151313,1.50121185064279
"103","por_uso_linea_max1m6",0.559451368081233,0.560101837432537
"104","disp_efectivo_max1m6",2.65883525716282,2.8226825313972
"105","por_uso_efectivo_max1m6",1.65538986373285,2.04341698161163
"106","saldo_me_max1m6",22.2874294098981,12.1166070115326
"107","por_me_max1m6",11.9687975854101,15.147333525134
"108","por_cal0_min1m12",1.75952057649135,1.7458404454621
"109","saldo_cal4_max1m12",1.61770417741618,1.44301648170348
"110","por_cal4_max1m12",0.793674538626364,0.826082684507279
"111","saldo_cal34_max1m12",1.80927731506853,2.382840707666
