"variable","mean","std_dev","variation_coef","p_01","p_05","p_25","p_50","p_75","p_95","p_99","skewness","kurtosis","iqr","range_98","range_80"
"45","saldo_cal1234_1m",1117.27799798285,3395.87090562164,3.03941446242796,0,0,0,585.09,1462.1075,3280.1275,6593.00149999998,16.8141950164805,369.503133220987,1462.1075,"[0, 6593.00149999998]","[0, 2317.485]"
"46","por_cal1234_1m",58.0498080708661,48.5715748498959,0.836722402089609,0,0,0,100,100,100,100,-0.318896550649306,1.12688994552054,100,"[0, 100]","[0, 100]"
"47","calificacion_1m",2.36589566929134,2.10626581488062,0.890261494713972,0,0,0,4,4,4,8,0.12850717990579,2.06268020811176,4,"[0, 8]","[0, 4]"
"48","saldo_1m",3975.6978920827,11295.4645088318,2.84112747382688,100,264.085,806.235,1513.985,3018.08,17314.71,41004.6629999999,19.546784745918,635.132927616147,2211.845,"[100, 41004.6629999999]","[425.605, 8012.225]"
"49","mora_1m",873.915027735754,1155.33213911333,1.32201884902552,0,0,0,334.5,1496.5,3057.25,4874.35,1.79302352847818,7.48220071251415,1496.5,"[0, 4874.35]","[0, 2454]"
"50","saldo_mora90_1m",757.87378214826,1044.91426188859,1.37874443806024,0,0,0,390.69,1253.7025,2474.8075,4333.963,3.31707685234103,35.8789390222273,1253.7025,"[0, 4333.963]","[0, 2047.595]"
"51","por_mora90_1m",0.53201555723651,0.490705394199641,0.92235158826661,0,0,0,1,1,1,1,-0.125005309679545,1.04272102658613,1,"[0, 1]","[0, 1]"
"52","saldo_mora60_1m",777.289369641957,1057.95133601673,1.36107783965198,0,0,0,426.53,1288.2725,2502.7225,4363.981,3.24904399329773,34.3386180570981,1288.2725,"[0, 4363.981]","[0, 2071.26]"
"53","por_mora60_1m",0.538228567826526,0.489410400419377,0.909298446189346,0,0,0,1,1,1,1,-0.148330021374389,1.0516957512137,1,"[0, 1]","[0, 1]"
"54","saldo_mora30_1m",815.256069087242,1224.76250134824,1.50230405855118,0,0,0,459.885,1314.93,2642.3825,4663.73599999999,8.08758326513645,186.158466808775,1314.93,"[0, 4663.73599999999]","[0, 2113.745]"
"55","por_mora30_1m",0.550229425113464,0.488089914291219,0.887066180058561,0,0,0,1,1,1,1,-0.1966691196375,1.0692374103923,1,"[0, 1]","[0, 1]"
"56","saldo_mora0_1m",1189.22402924861,3441.35409746613,2.89378116555589,0,0,0,631.18,1469.7175,3282.8375,8031.93999999995,12.3800259965831,204.016844644273,1469.7175,"[0, 8031.93999999995]","[0, 2332.925]"
"57","por_mora0_1m",0.599528290468986,0.476488829900954,0.794772886410776,0,0,0,1,1,1,1,-0.400199511971105,1.20687981464848,1,"[0, 1]","[0, 1]"
"58","por_mora_0_1m",0.400471709531014,0.476488829900954,1.18981895240231,0,0,0,0,1,1,1,0.400199511971105,1.20687981464848,1,"[0, 1]","[0, 1]"
"59","por_vig_1m",0.453529223398891,0.487003066054293,1.07380746582224,0,0,0,0,1,1,1,0.179086186795778,1.06676004244409,1,"[0, 1]","[0, 1]"
"60","saldo_novig_1m",107.752604639435,761.127433619708,7.06365694051308,0,0,0,0,0,408.03,2383.1325,23.1756500984873,830.428689956079,0,"[0, 2383.1325]","[0, 0]"
"61","por_novig_1m",0.0421288199697428,0.182261391132552,4.32628759275606,0,0,0,0,0,0.240325,1,4.59668172900009,23.1406885096324,0,"[0, 1]","[0, 0]"
"62","saldo_castigo_1m",703.321011094302,991.680723786007,1.4099972958906,0,0,0,266.925,1158.895,2412.25,4149.23,3.02863097841338,30.0953134951367,1158.895,"[0, 4149.23]","[0, 1972.58]"
"63","por_castigo_1m",0.504341981845688,0.491639171097445,0.9748131006232,0,0,0,0.5385,1,1,1,-0.0142297100901722,1.02789800405604,1,"[0, 1]","[0, 1]"
"64","linea_activa_1m",4495.07245856354,8278.81030034282,1.84175235808956,1,300,900,1845.415,4600,17031.845,33673.66,6.9462999004738,83.9811913822013,3700,"[1, 33673.66]","[500, 11634.95]"
"65","linea_total_1m",4364.35378649635,8023.46634991913,1.83840878682758,1,300,900,1800,4500.035,16855.495,33651.1045,6.78280185039665,78.9628995755412,3600.035,"[1, 33651.1045]","[500, 11155.145]"
"66","linea_usada_1m",2136.48884124088,3712.82550433991,1.73781647377269,0,0,285.535,886.42,2241.76,9139.59,16362.4435,4.80309498437497,41.736874688143,1956.225,"[0, 16362.4435]","[0, 5805.15]"
