"var","na_train","na_test"
"109","saldo_max1m6",0.330816746739876,0.372168284789644
"110","mora_max1m6",0.330816746739876,0.372168284789644
"111","saldo_mora90_max1m6",0.330816746739876,0.372168284789644
"112","por_mora90_max1m6",0.330816746739876,0.372168284789644
"113","saldo_mora60_max1m6",0.330816746739876,0.372168284789644
"114","por_mora60_max1m6",0.330816746739876,0.372168284789644
"115","saldo_mora30_max1m6",0.330816746739876,0.372168284789644
"116","por_mora30_max1m6",0.330816746739876,0.372168284789644
"117","saldo_mora0_max1m6",0.330816746739876,0.372168284789644
"118","por_mora0_max1m6",0.330816746739876,0.372168284789644
"119","por_mora_0_min1m6",0.330816746739876,0.372168284789644
"120","por_vig_min1m6",0.330816746739876,0.372168284789644
"121","saldo_novig_max1m6",0.330816746739876,0.372168284789644
"122","por_novig_max1m6",0.330816746739876,0.372168284789644
"123","saldo_castigo_max1m6",0.330816746739876,0.372168284789644
"124","por_castigo_max1m6",0.330816746739876,0.372168284789644
"125","linea_activa_max1m6",0.800960878517502,0.828478964401295
"126","linea_total_max1m6",0.798558682223747,0.826860841423948
"127","linea_usada_max1m6",0.798558682223747,0.826860841423948
"128","por_uso_linea_max1m6",0.798558682223747,0.826860841423948
"129","disp_efectivo_max1m6",0.798558682223747,0.826860841423948
"130","por_uso_efectivo_max1m6",0.798558682223747,0.826860841423948
"131","saldo_me_max1m6",0.330816746739876,0.372168284789644
"132","por_me_max1m6",0.330816746739876,0.372168284789644
"133","por_cal0_min1m12",0.272477693891558,0.318770226537217
"134","saldo_cal4_max1m12",0.285518188057653,0.334142394822006
"135","por_cal4_max1m12",0.272477693891558,0.318770226537217
"136","saldo_cal34_max1m12",0.285518188057653,0.334142394822006
"137","por_cal34_max1m12",0.272477693891558,0.318770226537217
"138","saldo_cal234_max1m12",0.285518188057653,0.334142394822006
"139","por_cal234_max1m12",0.272477693891558,0.318770226537217
"140","saldo_cal1234_max1m12",0.285518188057653,0.334142394822006
"141","por_cal1234_max1m12",0.272477693891558,0.318770226537217
"142","calificacion_max1m12",0,0
"143","saldo_max1m12",0.285518188057653,0.334142394822006
"144","mora_max1m12",0.285518188057653,0.334142394822006
"145","saldo_mora90_max1m12",0.285518188057653,0.334142394822006
"146","por_mora90_max1m12",0.285518188057653,0.334142394822006
"147","saldo_mora60_max1m12",0.285518188057653,0.334142394822006
"148","por_mora60_max1m12",0.285518188057653,0.334142394822006
"149","saldo_mora30_max1m12",0.285518188057653,0.334142394822006
"150","por_mora30_max1m12",0.285518188057653,0.334142394822006
"151","saldo_mora0_max1m12",0.285518188057653,0.334142394822006
